country,year,eiu
Canada,2019,9.22
US,2019,7.96
Austria,2019,8.29
Belgium,2019,7.64
Cyprus,2019,7.59
Denmark,2019,9.22
Finland,2019,9.25
France,2019,8.12
Germany,2019,8.68
Greece,2019,7.43
Iceland,2019,9.58
Ireland,2019,9.24
Italy,2019,7.52
Luxembourg,2019,8.81
Malta,2019,7.95
Netherlands,2019,9.01
Norway,2019,9.87
Portugal,2019,8.03
Spain,2019,8.18
Sweden,2019,9.39
Switzerland,2019,9.03
Turkey,2019,4.09
UK,2019,8.52
Albania,2019,5.89
Armenia,2019,5.54
Azerbaijan,2019,2.75
Belarus,2019,2.88
Bosnia and Hercegovina,2019,4.86
Bulgaria,2019,7.03
Croatia,2019,6.57
Czech Republic,2019,7.69
Estonia,2019,7.9
Georgia,2019,5.42
Hungary,2019,6.63
Kazakhstan,2019,2.94
Kyrgyz Republic,2019,4.89
Latvia,2019,7.49
Lithuania,2019,7.5
Moldova,2019,5.75
Montenegro,2019,5.65
North Macedonia,2019,5.97
Poland,2019,6.62
Romania,2019,6.49
Russia,2019,3.11
Serbia,2019,6.41
Slovakia,2019,7.17
Slovenia,2019,7.5
Tajikistan,2019,1.93
Turkmenistan,2019,1.72
Ukraine,2019,5.9
Uzbekistan,2019,2.01
Argentina,2019,7.02
Bolivia,2019,4.84
Brazil,2019,6.86
Chile,2019,8.08
Colombia,2019,7.13
Costa Rica,2019,8.13
Cuba,2019,2.84
Dominican Republic,2019,6.54
Ecuador,2019,6.33
El Salvador,2019,6.15
Guatemala,2019,5.26
Guyana,2019,6.15
Haiti,2019,4.57
Honduras,2019,5.42
Jamaica,2019,6.96
Mexico,2019,6.09
Nicaragua,2019,3.55
Panama,2019,7.05
Paraguay,2019,6.24
Peru,2019,6.6
Suriname,2019,6.98
Trinidad and Tobago,2019,7.16
Uruguay,2019,8.38
Venezuela,2019,2.88
Afghanistan,2019,2.85
Australia,2019,9.09
Bangladesh,2019,5.88
Bhutan,2019,5.3
Cambodia,2019,3.53
China,2019,2.26
Fiji,2019,5.85
Hong Kong,2019,6.02
India,2019,6.9
Indonesia,2019,6.48
Japan,2019,7.99
Laos,2019,2.14
Malaysia,2019,7.16
Mongolia,2019,6.5
Myanmar,2019,3.55
Nepal,2019,5.28
New Zealand,2019,9.26
North Korea,2019,1.08
Pakistan,2019,4.25
Papua New Guinea,2019,6.03
Philippines,2019,6.64
Singapore,2019,6.02
South Korea,2019,8
Sri Lanka,2019,6.27
Taiwan,2019,7.73
Thailand,2019,6.32
Timor Leste,2019,7.19
Vietnam,2019,3.08
Algeria,2019,4.01
Bahrain,2019,2.55
Egypt,2019,3.06
Iran,2019,2.38
Iraq,2019,3.74
Israel,2019,7.86
Jordan,2019,3.93
Kuwait,2019,3.93
Lebanon,2019,4.36
Libya,2019,2.02
Morocco,2019,5.1
Oman,2019,3.06
Palestine,2019,3.89
Qatar,2019,3.19
Saudi Arabia,2019,1.93
Sudan,2019,2.7
Syria,2019,1.43
Tunisia,2019,6.72
UAE,2019,2.76
Yemen,2019,1.95
Angola,2019,3.72
Benin,2019,5.09
Botswana,2019,7.81
Burkina Faso,2019,4.04
Burundi,2019,2.15
Cabo Verde,2019,7.78
Cameroon,2019,2.85
Central African Republic,2019,1.32
Chad,2019,1.61
Comoros,2019,3.15
Congo (Brazzaville),2019,3.11
Cote d'Ivoire,2019,4.05
Democratic Republic of Congo,2019,1.13
Djibouti,2019,2.77
Equatorial Guinea,2019,1.92
Eritrea,2019,2.37
eSwatini,2019,3.14
Ethiopia,2019,3.44
Gabon,2019,3.61
Gambia,2019,4.33
Ghana,2019,6.63
Guinea,2019,3.14
Guinea-Bissau,2019,2.63
Kenya,2019,5.18
Lesotho,2019,6.54
Liberia,2019,5.45
Madagascar,2019,5.64
Malawi,2019,5.5
Mali,2019,4.92
Mauritania,2019,3.92
Mauritius,2019,8.22
Mozambique,2019,3.65
Namibia,2019,6.43
Niger,2019,3.29
Nigeria,2019,4.12
Rwanda,2019,3.16
Senegal,2019,5.81
Sierra Leone,2019,4.86
South Africa,2019,7.24
Tanzania,2019,5.16
Togo,2019,3.3
Uganda,2019,5.02
Zambia,2019,5.09
Zimbabwe,2019,3.16
